CodigoLocalidad,CodigoRecinto,CodigoMesa,opcion,conteo
3779,25104,107304,LIBRE,116
3779,25104,107314,PDC,83
3779,25104,107314,LIBRE,109
3781,25106,107524,PDC,61
3781,25106,107524,LIBRE,122
3781,25106,107544,PDC,75
3781,25106,107544,LIBRE,106
3781,25106,107644,PDC,61
3781,25106,107644,LIBRE,116
3781,25106,107684,PDC,76
3781,25106,107684,LIBRE,62
3781,25106,107694,PDC,51
3781,25106,107694,LIBRE,117
3781,25106,107704,PDC,70
3781,25106,107704,LIBRE,95
3781,25106,107744,PDC,62
3781,25106,107744,LIBRE,109
3781,25106,107754,PDC,57
3781,25106,107754,LIBRE,118
3781,25106,107764,PDC,93
3781,25106,107764,LIBRE,71
3781,25106,107774,PDC,85
3781,25106,107774,LIBRE,76
3781,25106,107794,PDC,81
3781,25106,107794,LIBRE,95
3781,25106,107814,PDC,72
3781,25106,107814,LIBRE,112
3782,25107,107834,PDC,85
3782,25107,107834,LIBRE,96
3782,25107,107844,PDC,95
3782,25107,107844,LIBRE,89
3782,25107,107854,PDC,91
3782,25107,107854,LIBRE,92
3782,25107,107874,PDC,116
3782,25107,107874,LIBRE,84
3782,25107,107974,PDC,77
3782,25107,107974,LIBRE,112
3782,25107,107984,PDC,104
3782,25107,107984,LIBRE,83
3782,25107,107994,PDC,112
3782,25107,107994,LIBRE,68
3782,25107,108004,PDC,83
3782,25107,108004,LIBRE,102
3782,25107,108034,PDC,128
3782,25107,108034,LIBRE,58
3782,25107,108044,PDC,102
3782,25107,108044,LIBRE,74
3782,25107,108064,PDC,80
3782,25107,108064,LIBRE,107
3782,25107,108114,PDC,99
3782,25107,108114,LIBRE,83
3782,25107,108124,PDC,94
3782,25107,108124,LIBRE,90
3783,25108,108224,PDC,86
3783,25108,108224,LIBRE,102
3783,25108,108264,PDC,68
3783,25108,108264,LIBRE,131
3783,25108,108274,PDC,64
3783,25108,108274,LIBRE,131
3783,25108,108374,PDC,80
3783,25108,108374,LIBRE,120
3783,25108,108384,PDC,94
3783,25108,108384,LIBRE,105
3783,25108,108474,PDC,73
3783,25108,108474,LIBRE,114
3783,25108,108484,PDC,82
3783,25108,108484,LIBRE,82
3783,25108,108494,PDC,101
3783,25108,108494,LIBRE,82
4389,26101,108504,PDC,102
4389,26101,108504,LIBRE,35
3614,25301,108764,PDC,5
3614,25301,108764,LIBRE,22
3620,25085,108944,PDC,16
3620,25085,108944,LIBRE,100
3894,25152,109064,PDC,4
3894,25152,109064,LIBRE,51
3616,25070,109134,PDC,21
3616,25070,109134,LIBRE,103
3616,25070,109144,PDC,37
3616,25070,109144,LIBRE,96
3616,25070,109154,PDC,25
3616,25070,109154,LIBRE,112
3616,25070,109164,PDC,21
3616,25070,109164,LIBRE,119
