CodigoLocalidad,CodigoRecinto,CodigoMesa,CodigoPais,NombrePais,CodigoDepartamento,NombreDepartamento,CodigoCircunscripcionU,CodigoCircunscripcionE,CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,NombreLocalidad,NombreRecinto,NumeroMesa
3619,25200,105734,34,Brasil,18,Sao Paulo,0,0,1,Sao Paulo,1,Sao Paulo,Sao Paulo,Escuela Estadual Provincia de Nagasaki,2
3619,25201,105934,34,Brasil,18,Sao Paulo,0,0,1,Sao Paulo,1,Sao Paulo,Sao Paulo,Escuela Estadual Marechal Deodoro,7
3619,25202,105974,34,Brasil,18,Sao Paulo,0,0,1,Sao Paulo,1,Sao Paulo,Sao Paulo,Inst. Ciencia Tecnologia  São Paulo,1
3619,25202,105984,34,Brasil,18,Sao Paulo,0,0,1,Sao Paulo,1,Sao Paulo,Sao Paulo,Inst. Ciencia Tecnologia  São Paulo,2
3619,25202,106014,34,Brasil,18,Sao Paulo,0,0,1,Sao Paulo,1,Sao Paulo,Sao Paulo,Inst. Ciencia Tecnologia  São Paulo,5
3619,25202,106044,34,Brasil,18,Sao Paulo,0,0,1,Sao Paulo,1,Sao Paulo,Sao Paulo,Inst. Ciencia Tecnologia  São Paulo,14
3619,25202,106064,34,Brasil,18,Sao Paulo,0,0,1,Sao Paulo,1,Sao Paulo,Sao Paulo,Inst. Ciencia Tecnologia  São Paulo,16
3619,25202,106074,34,Brasil,18,Sao Paulo,0,0,1,Sao Paulo,1,Sao Paulo,Sao Paulo,Inst. Ciencia Tecnologia  São Paulo,7
3619,25202,106104,34,Brasil,18,Sao Paulo,0,0,1,Sao Paulo,1,Sao Paulo,Sao Paulo,Inst. Ciencia Tecnologia  São Paulo,10
3619,25202,106114,34,Brasil,18,Sao Paulo,0,0,1,Sao Paulo,1,Sao Paulo,Sao Paulo,Inst. Ciencia Tecnologia  São Paulo,11
3619,25202,106124,34,Brasil,18,Sao Paulo,0,0,1,Sao Paulo,1,Sao Paulo,Sao Paulo,Inst. Ciencia Tecnologia  São Paulo,12
3619,25204,106144,34,Brasil,18,Sao Paulo,0,0,1,Sao Paulo,1,Sao Paulo,Sao Paulo,Escuela Técnica Estadual Carlos de Campos,2
3619,25204,106154,34,Brasil,18,Sao Paulo,0,0,1,Sao Paulo,1,Sao Paulo,Sao Paulo,Escuela Técnica Estadual Carlos de Campos,3
